,name,num_classes,classes_used,ratio,learning_rate,mean_0,variance_0,mean_10,variance_10,mean_20,variance_20,mean_30,variance_30,mean_40,variance_40,mean_50,variance_50
0,normal,2,"(0, 1)","(1, 1)",1e-05,0.5483786499999999,0.009423741928102494,0.77910575,0.014506833817462497,0.84148475,0.0023757573245125002,0.8049157000000001,0.004259281018710005,0.7472957000000001,0.016494224985460004,0.8236022000000001,0.01086748083321
1,normal,2,"(0, 1)","(1, 1)",1e-06,0.53490505,0.008606034898972499,0.7956359500000001,0.00018409845702250138,0.8118000500000001,0.0003450463902725021,0.8264205500000001,0.00012591282747250035,0.8233665499999999,0.00017876096052249927,0.8326911499999999,0.00016672283585250023
2,normal,2,"(0, 1)","(1, 1)",5e-07,0.5275359,0.008331209211690001,0.77333865,0.00013976534670250107,0.7887498,0.00020414396776000026,0.8012477,0.00014091100445999934,0.8088807499999999,7.449802441249995e-05,0.81046945,5.3778948072500036e-05
3,normal,2,"(0, 1)","(1, 1)",1e-07,0.5117162999999999,0.005766031790659998,0.6952516999999999,0.00021697121525999984,0.7379711999999999,0.0001051184284100005,0.7574641000000001,0.00010667665103999932,0.7683119,6.018429524000025e-05,0.77610335,5.560563080250024e-05
4,normal,2,"(0, 1)","(1, 1)",1e-08,0.5146188,0.0038685543630100046,0.5396533499999999,0.0099336654033025,0.56193685,0.008381321070352507,0.58230795,0.007010875377272496,0.6000903500000001,0.006014460879902498,0.61548705,0.005112774808672499
5,ratio,2,"(0, 1)","(100, 1)",1e-05,0.48528865000000004,0.005267947185202497,0.74449525,0.0004885941874124982,0.78699765,9.227423620249947e-05,0.7884684999999999,0.00033321851480000046,0.8016416,0.0001575613954399991,0.8047402,0.00011850826130999977
6,ratio,2,"(0, 1)","(100, 1)",1e-06,0.52599935,0.0080323392276025,0.6570182,0.0015504476786599992,0.6750440000000001,0.0015479874836000014,0.69081055,0.001601972500772501,0.7043795500000002,0.0013904596970725032,0.7190117,0.0010411132771100003
7,ratio,2,"(0, 1)","(100, 1)",5e-07,0.5460846000000001,0.007973092205690008,0.6542001500000001,0.002460821633352498,0.6624815500000001,0.0021555641226225003,0.67146335,0.0018038113303524988,0.6782096999999999,0.0016080290218599997,0.6861652500000001,0.0012226706387625011
8,ratio,2,"(0, 1)","(100, 1)",1e-07,0.5057343,0.006033514935959999,0.6330010500000001,0.002019113343122499,0.6360660499999999,0.0019439152827225004,0.6387957999999999,0.0019385438929600007,0.6411051499999998,0.001934940865502499,0.64389185,0.0018952128696525013
9,ratio,2,"(0, 1)","(100, 1)",1e-08,0.5106596499999999,0.0055356503105524965,0.5849338000000001,0.003879681855660005,0.59682485,0.003631812387102494,0.60322505,0.003434391804122499,0.60668965,0.0034111661463025003,0.60955925,0.003259764919812501
10,oversampled,2,"(0, 1)","(100, 1)",1e-05,0.48199050000000004,0.003336414318099998,0.8021862500000001,0.00673168525496249,0.8375099,8.472268544e-05,0.8347596000000002,3.342652333999988e-05,0.8290103999999999,6.952687353999984e-05,0.82245905,0.00015429743687249962
11,oversampled,2,"(0, 1)","(100, 1)",1e-06,0.4684248999999999,0.010552731158139993,0.74284725,0.00022075530066250037,0.7566462,0.00021417261956000098,0.7639476,0.00019483135198999907,0.7675797500000001,0.00016490972396249946,0.7717637999999999,0.00019451896540999958
12,oversampled,2,"(0, 1)","(100, 1)",5e-07,0.54198425,0.006161365610562504,0.72472085,0.0005345891101024993,0.74560355,0.0003260417267225,0.755873,0.0002491911884500006,0.7598030499999999,0.00023979179587250025,0.7642111,0.00021778574308999954
13,oversampled,2,"(0, 1)","(100, 1)",1e-07,0.5785806000000001,0.005662203086139998,0.6508838,0.0020093831529100015,0.69909935,0.0007784300030025009,0.72273565,0.0005201391912024987,0.73511745,0.0005105693848224999,0.7437298,0.00041923371355999937
14,oversampled,2,"(0, 1)","(100, 1)",1e-08,0.49629899999999993,0.0071861921033000015,0.5205589,0.010715729015690003,0.53478585,0.009570384123652501,0.54967515,0.008281042339102502,0.56269185,0.007353262139652502,0.5760965999999998,0.006303145378489998
15,weighted,2,"(0, 1)","(100, 1)",1e-05,0.5080235,0.005901473871199998,0.52323235,0.0008665423166525016,0.5318772,0.0014553089776599998,0.5406605499999999,0.001967374339122501,0.5471237999999999,0.0022375639674100008,0.5535035,0.002304457775900004
16,weighted,2,"(0, 1)","(100, 1)",1e-06,0.5290896,0.007807886247790001,0.5786951499999999,0.0016181300207025007,0.5694906000000002,0.001095999520840001,0.5631393,0.0008012026055600008,0.5606104000000001,0.0006527400222900032,0.56022175,0.000619841441012501
17,weighted,2,"(0, 1)","(100, 1)",5e-07,0.517426,0.008677978499949996,0.6086882500000002,0.0025346699261625007,0.5993647,0.002185687131809996,0.5951523,0.0018459410465100003,0.5917971,0.00180532427849,0.5899182000000001,0.0017729389417599991
18,weighted,2,"(0, 1)","(100, 1)",1e-07,0.49664444999999996,0.001601176247822502,0.65660115,0.0022057846547524976,0.65778725,0.0017749826384124995,0.6554485,0.0016556339920999977,0.6510404000000001,0.0015536630769900001,0.6479450999999999,0.0014819112530400007
