name,num_classes,classes_used,ratio,learning_rate,mean_0,variance_0,mean_10,variance_10,mean_20,variance_20,mean_30,variance_30,cap,mean_40,variance_40,mean_50,variance_50,normalization,other
normal,2.0,"(0, 1)","(1, 1)",0.0005,0.49473255,0.0181975271449724,0.8670901499999999,0.0008905699704525,0.8946612500000001,0.0001194788479624,0.90395595,0.0001086268365725,,,,,,False,
ratio,2.0,"(0, 1)","(100, 1)",0.005,0.49991575,0.0129714285759124,0.74831895,0.0012653944022725,0.8086144,0.0013740251834399,0.8244614499999999,0.0014513956308225,,,,,,False,
oversampled,2.0,"(0, 1)","(100, 1)",0.001,0.4993932499999999,0.0159392794042125,0.74206575,0.0197182228348125,0.81498205,0.0041093501652725,0.8046735,0.0047229428776499,,,,,,False,
undersampled,2.0,"(0, 1)","(100, 1)",1e-05,0.4906308,0.0139725419528099,0.5447677,0.0077645254042099,0.5606261,0.00743850389229,0.5634582000000001,0.0065419425879599,,,,,,False,
weighted,2.0,"(0, 1)","(100, 1)",0.0001,0.53325535,0.0149597955638024,0.59232135,0.0129520566120024,0.6428948999999999,0.02098263458394,0.6515893,0.02348251461061,,,,,,False,
smote,2.0,"(0, 1)","(100, 1)",0.0005,0.5328351,0.00609341667139,0.8026681999999999,0.00189641648531,0.8288052499999999,0.0004035425312125,0.8288242,0.0022965248597099,,,,,,False,
capped_smote,2.0,"(0, 1)","(100, 1)",0.001,0.49473255,0.0181975271449724,0.7216491,0.00568496052449,0.8045992500000001,0.0037314398907625,0.8245419,0.00317626077529,1.0,,,,,False,
capped_smote,2.0,"(0, 1)","(100, 1)",0.001,0.4573437499999999,0.0080044975208124,0.8107831000000001,0.00166148569714,0.8292586,0.0015237281180899,0.84524995,0.0018731426551224,5.0,,,,,False,
capped_smote,2.0,"(0, 1)","(100, 1)",0.0005,0.49605905,0.0082413410881224,0.8312626999999997,0.00103650894756,0.84703635,0.0018626555275024,0.8584137000000001,0.00138403197706,10.0,,,,,False,
distance_capped_smote,2.0,"(0, 1)","(100, 1)",0.001,0.44444575,0.0154315429525624,0.8223972500000001,0.0009228766446125,0.8186916,0.0013172658072399,0.8017514,0.00493993649629,5.0,,,,,False,
cosine_distance_capped_smote,2.0,"(0, 1)","(100, 1)",0.001,0.4907707,0.01279072432191,0.8283275000000001,0.0024028242854499,0.8466476000000002,0.0003514712101899,0.8585420500000002,0.0003193302329724,1.0,,,,,False,
cosine_distance_capped_smote,2.0,"(0, 1)","(100, 1)",0.0005,0.5498653,0.00467914540826,0.8455692999999999,0.00039052289541,0.8531781,0.0019308892442399,0.86814645,0.0003538890195224,5.0,,,,,False,
cosine_distance_capped_smote_avg,2.0,"(0, 1)","(100, 1)",0.005,0.52584175,0.0073434456083124,0.85688615,0.0010197108715524,0.8363830499999999,0.0025335946808225,0.8566663999999999,0.0004903975413899,0.75,,,,,False,
triplet_loss_capped_smote,2.0,"(0, 1)","(100, 1)",0.001,0.4936494999999999,0.0077183226542,0.8235054500000001,0.0010576326902225,0.8173922999999998,0.0036368959863599,0.83222975,0.0015662335282625,5.0,,,,,False,
cosine_distance_capped_smote_with_triplet_loss,2.0,"(0, 1)","(100, 1)","(5e-06, 0.0005)",0.4689275499999999,0.0125604470493725,0.82827325,0.0121478551585624,0.8339445999999999,0.01243184511449,0.8355288999999999,0.0125535050639399,0.75,,,,,False,"start_epoch=20, get_best_model"
cosine_distance_capped_smote_with_smote_triplet_loss_2,2.0,"(0, 1)","(100, 1)","(1e-05, 0.0005)",0.46794215,0.0134389582784525,0.6957263,0.0228638463229599,0.8660558,0.0006080605191099,0.87647435,0.0002203821376025,1.0,,,,,False,"start_epoch=20, get_best_model"
normal,3.0,"(0, 3, 1)","(1, 1, 1)",0.005,0.494282775,0.0035760905120403,0.7573668333333331,0.0180509209239902,0.8203035166666666,0.011906158249583,0.8331163833333333,0.0123918727609599,,,,,,False,
ratio,3.0,"(0, 3, 1)","(200, 20, 1)",0.001,0.4460348416666666,0.0046965655123353,0.6409431499999999,0.000107364811065,0.6553976083333334,8.622584317368034e-05,0.672793525,0.00041378181595,,,,,,False,
oversampled,3.0,"(0, 3, 1)","(200, 20, 1)",0.001,0.5098093333333333,0.0062976322348527,0.6700481583333333,0.0038824082641367,0.7003226916666667,0.0025567563155264,0.7273095999999999,0.0012478596373455,,,,,,False,
undersampled,3.0,"(0, 3, 1)","(200, 20, 1)",0.0001,0.46739146666666664,0.002954915028173887,0.5161328083333332,0.002393650557245902,0.5090171000000001,0.0007926401778733343,0.5182143416666666,0.0006928047170686813,,,,,,False,
weighted,3.0,"(0, 3, 1)","(200, 20, 1)",0.0001,0.5130831666666666,0.0051797945064819,0.5170966583333334,0.0006171585123617,0.5334083916666666,0.0012979270459292,0.5454232833333335,0.0016222814927697,,,,,,False,
smote,3.0,"(0, 3, 1)","(200, 20, 1)",0.001,0.4941099666666666,0.0032406260852947,0.6780295916666668,0.0027239023320561,0.6744344166666667,0.0025501333176541,0.6907764916666667,0.0041518431660075,,,,,,False,
capped_smote,3.0,"(0, 3, 1)","(200, 20, 1)",0.005,0.47703315,0.0023935143808247,0.6762275666666666,0.0011148184608552,0.6996709999999999,0.0005693019507458,0.7074000333333333,0.0002240109914738,1.0,,,,,False,
capped_smote,3.0,"(0, 3, 1)","(200, 20, 1)",0.005,0.4788630666666666,0.0023468765333955,0.6670779250000001,0.0052124882764603,0.71805045,0.0014899216534586,0.7274815250000001,0.0005800807215722,5.0,,,,,False,
capped_smote,3.0,"(0, 3, 1)","(200, 20, 1)",0.005,0.5046315583333334,0.0036070081630597,0.6534609833333332,0.006329068172458,0.6736041333333332,0.0077281842878433,0.691859425,0.0093790882935047,10.0,,,,,False,
distance_capped_smote,3.0,"(0, 3, 1)","(200, 20, 1)",0.0005,0.4774828166666666,0.0032497889435233,0.6187936166666665,0.0025670330284405,0.6381672083333332,0.0027841285161003,0.664804775,0.0006790309580834,5.0,,,,,False,
cosine_distance_capped_smote,3.0,"(0, 3, 1)","(200, 20, 1)",0.001,0.494282775,0.0035760905120403,0.6594214333333333,0.0035067926950733,0.6877714583333333,0.0015339228446336,0.7121565833333333,0.0014514227398638,1.0,,,,,False,
cosine_distance_capped_smote,3.0,"(0, 3, 1)","(200, 20, 1)",0.005,0.4919612666666667,0.0036313071616886,0.6526721833333334,0.006041294449208,0.6650197833333333,0.0074119937385891,0.680191125,0.0081598678404086,5.0,,,,,False,
cosine_distance_capped_smote_avg,3.0,"(0, 3, 1)","(200, 20, 1)",0.001,0.4928640499999999,0.0044595727520558,0.7088966416666667,0.0007959792600222,0.7343309416666667,0.0007648906635292,0.74383005,0.0004929848289294,1.0,,,,,False,
triplet_loss_capped_smote,3.0,"(0, 3, 1)","(200, 20, 1)",0.001,0.4938284416666667,0.0027812459809792,0.625051175,0.0047979014687464,0.6562255583333334,0.0015973234771,0.6688515666666666,0.0005321212747552,5.0,,,,,False,
cosine_distance_capped_smote_with_smote_triplet_loss,3.0,"(0, 3, 1)","(200, 20, 1)","(1e-06, 0.001)",0.5200174083333333,0.0037927158897853,0.7291713,0.0002470393903363,0.7417846,0.001053969872508,0.7526600250000001,0.0010772048818528,1.0,,,,,False,start_epoch=20
