name,num_classes,classes_used,ratio,learning_rate,mean_0,variance_0,mean_10,variance_10,mean_20,variance_20,mean_30,variance_30
normal,2,"(0, 1)","(1, 1)",0.0001,0.5660381,0.012184008228339996,0.5887175499999999,0.016815418068372504,0.6108990000000001,0.012862139134800003,0.6236219499999999,0.015241387556772495
normal,2,"(0, 1)","(1, 1)",1e-05,0.5569932999999999,0.009619831136810003,0.5913926999999999,0.0063834748060099976,0.6037788000000001,0.004749928858009999,0.60842545,0.004855022686922497
ratio,2,"(0, 1)","(10, 1)",0.0001,0.52911255,0.014676632881072498,0.5101467,0.0064243430996099955,0.5384173000000001,0.005782095455410001,0.5788299,0.00737939572829
ratio,2,"(0, 1)","(10, 1)",1e-05,0.5481047,0.008582246974160001,0.6031594499999999,0.003283244473022502,0.5815605,0.003788053409650002,0.5666244999999999,0.004006127636850001
oversampled,2,"(0, 1)","(10, 1)",0.0001,0.49915005000000007,0.012523313184472498,0.60539075,0.010444567190312502,0.60811,0.010177968239799998,0.61661465,0.011959750217052496
oversampled,2,"(0, 1)","(10, 1)",1e-05,0.5566091,0.013283602374339995,0.6210994999999999,0.0042798678821999985,0.6195488499999999,0.006588609160552502,0.6264481999999999,0.009743490720159998
undersampled,2,"(0, 1)","(10, 1)",0.0001,0.57047475,0.008708093206912498,0.5745324999999999,0.0055248319903000035,0.53105575,0.003664978314362498,0.52413385,0.006170808286052503
undersampled,2,"(0, 1)","(10, 1)",1e-05,0.5371066499999999,0.0179415772019525,0.5505774000000001,0.017205694489490005,0.5594504,0.015241773266439999,0.5626953,0.01372534019126
smote,2,"(0, 1)","(10, 1)",0.0001,0.42880365000000004,0.010927492258102498,0.6828449000000001,0.006355669978790002,0.70094165,0.006979713496602506,0.7185729499999999,0.008170120617472496
smote,2,"(0, 1)","(10, 1)",1e-05,0.5474157500000001,0.009739496194412504,0.57182475,0.009783730596412498,0.6044937,0.007472152401359997,0.6046719,0.008269198453739999
focal_loss,2,"(0, 1)","(10, 1)",0.0001,0.4603223999999999,0.016680012990239995,0.5066283500000001,0.013858638153902503,0.44906065,0.014173769963902497,0.4122857999999999,0.01195018940151
focal_loss,2,"(0, 1)","(10, 1)",1e-05,0.49995425000000004,0.026046117485612502,0.5809035499999999,0.019667779134422497,0.5755148,0.01916749098356001,0.57169555,0.0188042646355225
